"sg_uf_esc","cd_uf","cd_rgi","nm_rgi","media_nota_redacao"
"Rio Grande do Sul",43,430037,"Bento Gonçalves","620.3911980440098"
"Rio Grande do Sul",43,430038,"Nova Prata - Guaporé","611.28"
"Rio Grande do Sul",43,430039,"Vacaria","570.5325443786983"
"Rio Grande do Sul",43,430040,"Santa Cruz do Sul","640.824427480916"
"Rio Grande do Sul",43,430041,"Lajeado","594.335260115607"
"Rio Grande do Sul",43,430042,"Sobradinho","666.7142857142857"
"Rio Grande do Sul",43,430043,"Encantado","620.952380952381"
"Mato Grosso do Sul",50,500001,"Campo Grande","571.2070410729254"
"Mato Grosso do Sul",50,500002,"Três Lagoas","562.8169014084507"
"Mato Grosso do Sul",50,500003,"Paranaíba - Chapadão do Sul - Cassilândia","539.296875"
"Mato Grosso do Sul",50,500004,"Coxim","509.8347107438017"
"Mato Grosso do Sul",50,500005,"Dourados","577.4480151228734"
"Mato Grosso do Sul",50,500006,"Naviraí - Mundo Novo","558.0188679245283"
"Mato Grosso do Sul",50,500007,"Nova Andradina","546.2172284644195"
"Mato Grosso do Sul",50,500008,"Ponta Porã","499.9166666666667"
"Mato Grosso do Sul",50,500009,"Amambai","579.0123456790124"
"Mato Grosso do Sul",50,500010,"Corumbá","493.8738738738739"
"Mato Grosso do Sul",50,500011,"Jardim","513.1932773109244"
"Mato Grosso do Sul",50,500012,"Aquidauana - Anastácio","526.2910798122066"
"Mato Grosso",51,510001,"Cuiabá","533.8251986379115"
"Mato Grosso",51,510002,"Tangará da Serra","553.5643564356436"
"Mato Grosso",51,510003,"Diamantino","557.0192307692307"
"Mato Grosso",51,510004,"Cáceres","565.4748603351956"
"Mato Grosso",51,510005,"Pontes e Lacerda - Comodoro","513.0890052356021"
"Mato Grosso",51,510006,"Mirassol D'oeste","590.6837606837607"
"Mato Grosso",51,510007,"Sinop","561.5228426395939"
"Mato Grosso",51,510008,"Sorriso","539.3948126801153"
"Mato Grosso",51,510009,"Juína","555.0537634408602"
"Mato Grosso",51,510010,"Alta Floresta","584.622641509434"
"Mato Grosso",51,510011,"Peixoto de Azevedo - Guarantã do Norte","489.6045197740113"
"Mato Grosso",51,510012,"Juara","553.6170212765958"
"Mato Grosso",51,510013,"Barra do Garças","529.0677966101695"
"Mato Grosso",51,510014,"Confresa - Vila Rica","495.27777777777777"
"Mato Grosso",51,510015,"Água Boa","530.7692307692307"
"Mato Grosso",51,510016,"Rondonópolis","566.0436137071652"
"Mato Grosso",51,510017,"Primavera do Leste","550.0813008130082"
"Mato Grosso",51,510018,"Jaciara","536.3358778625955"
"Goiás",52,520001,"Goiânia","602.9560915275201"
"Goiás",52,520002,"Anápolis","635.1092168353756"
"Goiás",52,520003,"Inhumas - Itaberaí - Anicuns","599.1705069124424"
"Goiás",52,520004,"Catalão","589.0612244897959"
"Goiás",52,520005,"Goiás - Itapuranga","586.4347826086956"
"Goiás",52,520006,"Pires do Rio","585.6774193548387"
"Goiás",52,520007,"Itumbiara","560.3688524590164"
"Goiás",52,520008,"Caldas Novas-Morrinhos","578.9"
"Goiás",52,520009,"Piracanjuba","538.2758620689655"
"Goiás",52,520010,"Rio Verde","550.0364298724954"
"Goiás",52,520011,"Jataí-Mineiros","607.9217603911981"
"Goiás",52,520012,"Quirinópolis","582.7488151658767"
"Goiás",52,520013,"São Luís de Montes Belos","522.4770642201835"
"Goiás",52,520014,"Iporá","536.8731563421829"
"Goiás",52,520015,"Palmeiras de Goiás","516.401179941003"
"Goiás",52,520016,"Porangatu","583.3809523809524"
"Goiás",52,520017,"Uruaçu - Niquelândia","592.6588235294117"
"Goiás",52,520018,"Ceres - Rialma - Goianésia","587.5718015665797"
"Goiás",52,520019,"Luziânia","550.3610675039247"
"Goiás",52,520020,"Águas Lindas de Goiás","531.5019255455712"
"Goiás",52,520021,"Posse-Campos Belos","506.4761904761905"
"Goiás",52,520022,"Flores de Goiás","443.2926829268293"
"Distrito Federal",53,530001,"Distrito Federal","593.3360680955799"
